"subject","test","tBodyAcc-mean()-X","tGravityAcc-mean()-X","tBodyAccJerk-mean()-X","tBodyGyro-mean()-X","tBodyAcc-mean()-Y","tGravityAcc-mean()-Y","tBodyAccJerk-mean()-Y","tBodyGyro-mean()-Y","tBodyAcc-mean()-Z","tGravityAcc-mean()-Z","tBodyAccJerk-mean()-Z","tBodyGyro-mean()-Z","tBodyAcc-std()-X","tGravityAcc-std()-X","tBodyAccJerk-std()-X","tBodyGyro-std()-X","tBodyAcc-std()-Y","tGravityAcc-std()-Y","tBodyAccJerk-std()-Y","tBodyGyro-std()-Y","tBodyAcc-std()-Z","tGravityAcc-std()-Z","tBodyAccJerk-std()-Z","tBodyGyro-std()-Z","fBodyAcc-mean()-X","fBodyAccJerk-mean()-X","fBodyAcc-mean()-Y","fBodyAccJerk-mean()-Y","fBodyAcc-mean()-Z","fBodyAccJerk-mean()-Z","fBodyAcc-std()-X","fBodyAccJerk-std()-X","fBodyAcc-std()-Y","fBodyAccJerk-std()-Y","fBodyAcc-std()-Z","fBodyAccJerk-std()-Z","mAvg"
2,"STANDING",0.01165315,0.0149295,-0.001934094,0.002848255,0.01864973,0.003984578,0.004747375,-0.0138019,0.2168462,0.007130019,0.004295785,0.005891816,0.4793957,0.111512,0.08409277,0.01576542,0.4145414,0.01929157,-0.008571455,-0.08565578,-0.02714204,0.03634128,0.02984227,0.03225787,1.041216,1.009091,-0.280025,-0.2765982,0.1474754,0.1601415,0.005065897,-0.001236221,0.006140966,-0.0004302846,0.04472929,-0.01458218,-0.000405060555555556
2,"STANDING",0.009279629,0.001597029,0.002134732,-0.001094813,0.007330912,-0.00490818,-0.02258994,-0.006232627,-0.03663861,0.00616631,-0.006231622,0.0006449199,0.07885598,0.1467033,-0.02368642,-0.01024882,-0.09285049,-0.1090417,-0.05326686,-0.03273061,0.05400873,0.0612438,0.03182497,0.05831106,0.9991921,0.9947076,-0.2532142,-0.2631768,0.1163814,0.1351513,0.002247428,0.001180425,-0.004190853,0.004488573,-0.02632141,0.000343686,9.54683333333333e-06
2,"STANDING",0.005731945,-0.001438474,-0.006515367,-0.003860037,-0.02205069,-0.003531264,-0.02300735,-0.002527477,0.003646559,-0.00509638,-0.004563073,-0.0006192794,-0.05946352,-0.0135844,0.02042,-0.03048264,-0.04564855,-0.06604034,-0.0435105,-0.03673198,0.02567403,0.04576823,0.02566882,0.02032818,0.9975931,0.9871382,-0.2638194,-0.2948402,0.1441536,0.1330783,-0.003737739,0.001614149,0.0009365296,-0.0111575,-0.007744609,-0.01268424,-0.00035234
2,"STANDING",0.0004519467,-0.0002163018,-0.006518928,0.002247723,-0.008671401,-0.005360544,-0.02071667,0.002476218,-0.002648797,-0.005208666,-0.0175028,-0.01039763,-0.02729204,-0.02563977,-0.05131645,-0.02094323,-0.03923951,-0.02979465,-0.005703819,0.002336559,0.06629556,0.01460565,-0.003420537,-0.0113302,0.994564,0.9879475,-0.2888855,-0.3013002,0.1352512,0.1170201,0.0004081084,-0.001347448,-0.007825615,-0.007462971,-0.005614841,-0.00875597,-0.000243221388888889
2,"STANDING",-0.004362379,-0.001721034,-0.001402034,0.003647159,0.001676766,0.003497169,0.004970837,0.003067294,0.004068636,-0.00172424,-0.01557249,-0.002874026,-0.04017106,-0.04841756,-0.01543467,0.01662955,-0.03708494,-0.004150722,-0.008073643,0.02987776,0.02012577,-0.003857607,-0.006443454,-0.02517897,0.9881504,0.9882088,-0.2832349,-0.3041214,0.139431,0.1108995,0.003126034,0.001716622,-0.00733629,0.005564725,-0.004327871,0.001570392,4.3622e-05
2,"STANDING",-0.001095664,0.00334785,0.001046182,0.005215372,0.003387955,0.006574068,0.004652162,-0.009175313,-0.004740698,-0.006535338,0.002276477,0.005508039,-0.03375759,-0.01631909,-0.005681323,0.00418743,-0.05772128,0.01999803,0.02068677,0.0227674,0.03902877,-0.02115689,-0.01765517,-0.02447266,0.9897341,0.9924203,-0.2843517,-0.2907735,0.1264448,0.1235382,0.001268348,-0.001797439,-0.001811567,0.003893321,0.001850681,0.003603411,0.00010009475
2,"STANDING",-0.0004191591,-0.001137029,0.001622661,-0.003575003,0.007807715,-0.002954319,-0.006281158,-0.005223753,-0.001883322,0.001528298,0.0008352993,-0.01417392,-0.003730854,-0.01174427,0.001068684,0.001909591,0.009449745,0.02182784,0.01223062,-0.00747313,0.002782106,-0.03676386,-0.00478355,0.00844289,0.989642,0.9933923,-0.2887561,-0.2817423,0.1182707,0.1261169,0.003869502,0.001856708,0.0107133,-0.009145794,0.003017537,0.0009434037,2.62056583333333e-05
2,"STANDING",-0.0008864384,0.001469691,-0.00282771,-0.000512889,-0.01202248,-0.005307412,0.002245881,0.003396206,0.0001483917,0.001587835,-0.01139774,-0.002657897,-0.01996538,-0.006846033,-0.002756489,0.006094624,0.01535709,-0.008981542,0.005630651,0.007294571,-0.002920017,0.005872321,-0.01177627,-0.000233534,0.9897889,0.987957,-0.2832238,-0.299293,0.1206925,0.111593,0.003658774,0.002231776,0.004484332,-0.008012067,0.01219097,-0.01233719,-0.000342699722222222
2,"STANDING",-0.003085937,-0.003881759,0.003142912,-0.001298312,-0.006307669,0.01022971,0.003418191,0.005421605,-0.006858511,-0.006876372,-0.003446673,0.001622245,0.00434598,0.003011314,0.005690274,0.005198275,-0.002581799,-0.003445042,0.01097762,0.008468662,0.004414968,-0.0001162263,-0.01494685,-0.001049422,0.9884495,0.9896772,-0.302873,-0.299554,0.1165919,0.1116505,-0.000195084,0.0004488524,-0.0154766,0.003753072,-0.01535907,0.006585699,0.000182936083333333
2,"STANDING",-0.0003436752,-0.0002461076,0.0001586224,-0.0002858299,0.004441824,0.004732598,-0.007096731,-0.004013534,-0.003439446,-0.002769587,0.00498957,-0.001508393,0.009636585,0.009412068,0.01010336,0.005305094,-0.001054146,0.001078846,0.003321652,0.01007313,-0.01109227,-0.001840411,-0.007631181,0.002450109,0.9895114,0.9900856,-0.3044479,-0.2954542,0.1142249,0.120164,-0.001573122,0.002489629,0.006354478,-0.0015899,0.001618964,-0.006453667,-0.000179268527777778
